Area,ID,Constructed,Location,PlayType,Maintain,Site,Ward,long,lat
Alfredton,37171,2021/9/30,"Play Equipment - Alfredton Pre School, 6-8 Balyarta St Alfredton  ",PG-Child Minding Playground,Tenant,Alfredton Pre School,North,143.8065678,-37.55223341
Black Hill,37173,2021/9/30,"Play Equipment - Black Hill Pre School, 602 Sherrard St Black Hill  ",PG-Child Minding Playground,Tenant,Black Hill Pre School,Central,143.8697381,-37.54830503
Brown Hill,37174,2021/9/30,"Play Equipment - Brown Hill Pre School, 1 Reid Crt Brown Hill",PG-Child Minding Playground,Tenant,Brown Hill Pre School,Central,143.8951763,-37.55154926
Buninyong,37175,2021/9/30,Play Equipment - Buninyong Early Learning Centre,PG-Child Minding Playground,Tenant,Buninyong Early Learning Centre,South,143.8878956,-37.65042933
Delacombe,37176,2021/9/30,Play Equipment - Delacombe Pre School,PG-Child Minding Playground,Tenant,Delacombe Childrens Centre,South,143.8187479,-37.58012558
Ballarat Central,37177,2021/9/30,"Play Equipment - Girrabanya Childrens Centre, Peel St Sth Ballarat Central",PG-Child Minding Playground,Tenant,Girrabanya Childrens Centre,Central,143.8630079,-37.56525496
Redan,37178,2021/9/30,Play Equipment - Iris Ramsay Pre School,PG-Child Minding Playground,Tenant,Iris Ramsay Pre School,South,143.8346314,-37.57534311
Wendouree,37179,2021/9/30,Play Equipment - Linda Brown Pre School,PG-Child Minding Playground,Tenant,Linda Brown Pre School,North,143.8368403,-37.53737218
Mount Clear,37181,2000/6/1,"Play Equipment - Mt Clear Pre School, 2 Dallas Ave Mt Clear",PG-Child Minding Playground,Tenant,Mount Clear Childrens Centre,South,143.8686347,-37.60729103
Mount Helen,37182,2021/9/30,Play Equipment - Mt Helen Pre School,PG-Child Minding Playground,Tenant,Mount Helen Pre School,South,143.877888,-37.62593629
Mount Pleasant,37183,2021/9/30,"Play Equipment - Mt Pleasant Pre School, 826 Laurie St Mt Pleasant",PG-Child Minding Playground,Tenant,Mount Pleasant Pre School,Central,143.8540298,-37.57787579
Wendouree,37184,2021/9/30,Play Equipment - Rowan View Pre School,PG-Child Minding Playground,Tenant,Rowan View Childrens Centre,North,143.8354857,-37.52186263
Sebastopol,37185,2021/9/30,Play Equipment - Sebsatopol South Pre School,PG-Child Minding Playground,Tenant,Sebastopol South Pre School,South,143.8392869,-37.60242554
Wendouree,37191,2021/9/30,Play Equipment - Wendouree Childrens Centre,PG-Child Minding Playground,Tenant,Wendouree Childrens Centre,North,143.8242703,-37.5314097
Ballarat North,37188,2021/9/30,Play Equipment - Ballarat Child Minding Co Op,PG-Child Minding Playground,Tenant,Midlands Reserve,North,143.8600685,-37.54043536
Ballarat North,37180,2021/9/30,Play Equipment - Midlands Pre School,PG-Child Minding Playground,Tenant,Midlands Reserve,North,143.8602221,-37.53958301
Ballarat Central,37172,2021/9/30,Play Equipment - Ballarat Fidelity Pre School,PG-Child Minding Playground,Tenant,Western Oval Reserve,Central,143.8401465,-37.56553665
Sebastopol,37190,2021/9/30,Play Equipment - Sebastopol Child Care Centre,PG-Child Minding Playground,Tenant,St Georges Reserve,South,143.8387723,-37.59226876
Mitchell Park,36450,2007/1/1,Playground - Polocross (Ballarat Airport) Mitchell Park,PG-Playground,City of Ballarat,Ballarat Airport,North,143.7818993,-37.51578917
Sebastopol,220814,2000/1/1,Playground - Sebastopol Offices,PG-Playground,City of Ballarat,Sebastopol Offices,South,143.8416798,-37.59745682
Sebastopol,36615,2001/1/1,Playground - Teague Court Reserve Sebastopol,PG-Playground,City of Ballarat,Teague Court Park,South,143.8324374,-37.60160223
Canadian,258887,2015/11/30,Playground - Alex Mills Park,PG-Playground,City of Ballarat,Alex Mills Park,South,143.8770403,-37.57912321
Learmonth,138863,2012/1/2,Playground - Alexander Park,PG-Playground,City of Ballarat,Alexander Park,North,143.7107983,-37.42201264
Alfredton,36645,2010/1/1,Playground - Alfredton Recreation Reserve,PG-Playground,City of Ballarat,Alfredton Recreation Reserve,North,143.8001788,-37.55444734
Alfredton,36646,1998/1/1,Playground - Almurta Street Reserve,PG-Playground,City of Ballarat,Almurta Street Reserve,North,143.8065302,-37.55188874
Alfredton,138972,2011/12/2,Playground - The Chase Central Park Alfredton,PG-Playground,City of Ballarat,The Chase Central Park,South,143.7882916,-37.55575737
Golden Point,36647,2000/1/1,Playground - Apex Park,PG-Playground,City of Ballarat,Apex Park,South,143.8715201,-37.57061213
Ascot,36649,2003/1/1,Playground - Ascot Hall Reserve Ascot,PG-Playground,City of Ballarat,Ascot Hall Reserve,North,143.7990146,-37.39626674
Alfredton,309989,2020/5/1,Playground - Djile-tjarriu Reserve Alfredton,PG-Playground,City of Ballarat,Djila-tjarriu Reserve,South,143.7965289,-37.56480883
Delacombe,256876,2015/11/2,Playground - Banyule Yaluk Reserve,PG-Playground,City of Ballarat,Banyule Yaluk Reserve,South,143.818295,-37.59177357
Sebastopol,284804,2017/5/1,Playground - Bedgood Court Park,PG-Playground,City of Ballarat,Bedggood Court Park,South,143.8341857,-37.60212087
Wendouree,258892,2015/10/1,Playground - Bogart Drive Reserve,PG-Playground,City of Ballarat,Bogart Drive Reserve,North,143.8377677,-37.5316377
Brown Hill,220796,2013/6/1,Playground - Brown Hill Reserve,PG-Playground,City of Ballarat,Brown Hill Reserve,Central,143.8984577,-37.55236443
Ballarat North,284273,2017/1/1,Playground - Bullock Gully,PG-Playground,City of Ballarat,Bullock Gully,North,143.8715088,-37.53935581
Buninyong,36496,1995/1/1,Playground - Buninyong Botanical Gardens,PG-Playground,City of Ballarat,Buninyong Botanic Gardens,South,143.888122,-37.6528077
Buninyong,236129,2014/6/1,Parkour - Buninyong Recreation Park,PG-Play Equipment,City of Ballarat,Buninyong Recreation Park,South,143.8872799,-37.64939325
Buninyong,139077,2011/12/1,Playground - Buninyong Community Facility,PG-Playground,City of Ballarat,Buninyong Recreation Reserve,South,143.8910267,-37.64986628
Mitchell Park,36698,1993/1/1,Playground - Caldwell St Park Mitchell Park,PG-Playground,City of Ballarat,Caldwell Street Park,North,143.8022486,-37.51419645
Canadian,36699,1998/1/1,Playground - Canadian Creek Reserve,PG-Playground,City of Ballarat,Canadian Creek Reserve,South,143.8690186,-37.58523147
Mount Clear,36700,1998/1/1,Playground - Canadian Creek Reserve,PG-Playground,City of Ballarat,Canadian Creek Reserve,South,143.870159,-37.59279444
Mount Clear,36701,1998/1/1,Playground - Canadian Creek Reserve,PG-Playground,City of Ballarat,Canadian Creek Reserve,South,143.8703488,-37.60494765
Canadian,36702,2004/1/1,"Playground - Canadian Gully Reserve, Canadian Lakes Boulevard Canadian",PG-Playground,City of Ballarat,Canadian Gully Reserve,South,143.8676811,-37.5881856
Cardigan Village,36705,1992/1/1,"Playground - Canadian Village Reserve, Appleby Dr Cardigan Village",PG-Playground,City of Ballarat,Cardigan Village Park,North,143.7089969,-37.51424258
Wendouree,36708,1995/1/1,Playground - Carpenter Street Reserve,PG-Playground,City of Ballarat,Carpenter Street Reserve,North,143.8332246,-37.52322431
Wendouree,36727,2001/1/1,Playground - Charles Edward Brown Reserve,PG-Playground,City of Ballarat,Charles Edward Brown Reserve,North,143.8440296,-37.53805568
Wendouree,236153,2014/6/2,Parkour - Charles Edward Brown Reserve,PG-Play Equipment,City of Ballarat,Charles Edward Brown Reserve,North,143.8410304,-37.53716369
Blowhard,36729,1999/1/1,Playground - Centenary Park,PG-Playground,City of Ballarat,Centenary Park,North,143.7866969,-37.42958452
Lake Gardens,36730,2004/8/25,Playground - Central Park,PG-Playground,City of Ballarat,Central Park,Central,143.8181728,-37.54505633
Wendouree,36741,1989/1/1,Playground - Clover St Reserve Wendouree,PG-Playground,City of Ballarat,Clover Street Reserve,North,143.8165463,-37.53087426
Wendouree,36743,2008/1/1,Playground - College Street Park Wendouree,PG-Playground,City of Ballarat,College Street Park,North,143.8370132,-37.53753427
Brown Hill,114435,2010/1/1,Playground - Coorabin Ridge Neighourhood Park,PG-Playground,City of Ballarat,Coorabin Ridge Neighbourhood Park,North,143.9217247,-37.53398005
Miners Rest,36744,2008/1/1,Playground - Cummins Road Reserve Miners Rest,PG-Playground,City of Ballarat,Cummins Road Reserve,North,143.804017,-37.49152389
Alfredton,36746,2002/1/1,Playground - Cuthberts Road Reserve Alfredton,PG-Playground,City of Ballarat,Cuthberts Road Reserve,North,143.7912021,-37.55045264
Bonshaw,283739,2017/1/1,Playground - Dairymans Way Reserve Bonshaw,PG-Playground,City of Ballarat,Dairymans Way Reserve,South,143.8221559,-37.60352301
Buninyong,36752,1996/1/1,Playground - De Soza Park,PG-Playground,City of Ballarat,De Soza Park,South,143.8838015,-37.64888695
Delacombe,151130,2012/6/1,Playground - Doug Dean Reserve,PG-Playground,City of Ballarat,Doug Dean Reserve,South,143.815834,-37.58363223
Lake Wendouree,36757,2005/1/1,Playground - Duncan Street Reserve Lake Wendouree,PG-Playground,City of Ballarat,Duncan Street Reserve,Central,143.8486003,-37.55295284
Alfredton,36774,1998/1/1,Playground - Elaine Avenue Reserve Alfredton,PG-Playground,City of Ballarat,Elaine Avenue Reserve,North,143.7954237,-37.5493588
Eureka,36787,2004/1/1,"Playground - Eureka Stockade, Eureka St Eureka",PG-Playground,City of Ballarat,Eureka Stockade,Central,143.8846961,-37.56487058
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,271901,2016/1/1,Aquatic Playspace - Eureka Pool,PG-Aquatic Playspace,City of Ballarat,Eureka Stockade,Central,143.885136,-37.56442298
Eureka,282645,2012/10/1,"Playground - Eureka Pool, Eureka St Eureka",PG-Playground,City of Ballarat,Eureka Stockade,Central,143.885753,-37.56430895
Mount Clear,220801,2013/6/1,Playground - Glenvale Road Reserve Mount Clear,PG-Playground,City of Ballarat,Glenvale Road Reserve,South,143.8665747,-37.5966404
Mount Helen,36790,1998/1/1,Playground - Greenhill Linear Reserve,PG-Playground,City of Ballarat,Greenhill Linear Reserve,South,143.8857721,-37.61905514
Soldiers Hill,36791,2008/1/1,Playground - Gregory Street Reserve Soldiers Hill,PG-Playground,City of Ballarat,Gregory Street Reserve,Central,143.8563515,-37.54485765
Brown Hill,248828,2014/11/30,Playground - Hearns Road Reserve Brown Hill,PG-Playground,City of Ballarat,Hearn Road Reserve,North,143.9088138,-37.54735539
Wendouree,249177,2014/1/1,"Playground - Hollioake Tennis Centre, 481 Dowling St Wendouree",PG-Playground,City of Ballarat,Hollioake Park,North,143.8418301,-37.52636399
Mount Clear,289380,2014/7/25,Playground - Hocking Avenue Reserve Mount Clear,PG-Playground,City of Ballarat,Hocking Avenue Reserve,South,143.876507,-37.59370898
Alfredton,284731,2017/4/1,Playground - Horsham Crescent Reserve Alfredton,PG-Playground,City of Ballarat,Horsham Crescent Reserve,North,143.7969563,-37.55131963
Ballarat North,220798,2013/6/1,Playground - Inkerman Gully Reserve,PG-Playground,City of Ballarat,Inkerman Gully Reserve,North,143.8732918,-37.54225466
Invermay,262081,2012/4/30,Playground - Invermay Recreation Reserve Invermay,PG-Playground,City of Ballarat,Invermay Recreation Reserve,North,143.8739058,-37.52227503
Invermay Park,248827,2014/11/18,Playground - Jack Toohey Reserve,PG-Playground,City of Ballarat,Jack Toohey Reserve,North,143.8587436,-37.52983349
Wendouree,36803,2009/1/1,Playground - John Street Reserve Wendouree,PG-Playground,City of Ballarat,John Street Reserve,North,143.8386273,-37.52476588
Sebastopol,261287,2013/7/30,Playground - Keane Street Reserve Sebastopol,PG-Playground,City of Ballarat,Keane Street Reserve,South,143.8300799,-37.59351002
Mount Pleasant,36804,2004/1/1,Playground - Kenworthy Place Reserve Mount Pleasant,PG-Playground,City of Ballarat,Kenworthy Place Reserve,South,143.8528993,-37.58282287
Redan,36805,2004/1/1,Playground - La Trobe Street Reserve Redan,PG-Playground,City of Ballarat,La Trobe Street Reserve,South,143.8401603,-37.5724222
Canadian,262053,2015/6/30,Playground - (Natural Playspace) Lake Esmond Botanical Park Canadian,PG-Playground,City of Ballarat,Lake Esmond Botanical Park,South,143.8747779,-37.57529948
Learmonth,36825,2004/1/1,Playground - Lake Learmonth,PG-Playground,City of Ballarat,Lake Learmonth,North,143.7249584,-37.43480484
Lake Wendouree,36862,1998/1/1,Playground - (Community Adventure) - Wendouree Pde Lake Wendouree,PG-Playground,City of Ballarat,Lake Wendouree Reserve,Central,143.8225395,-37.55024748
Lake Wendouree,36863,2009/1/1,Playground - (Indigenous) - Wendouree Pde Lake Wendouree,PG-Playground,City of Ballarat,Lake Wendouree Reserve,Central,143.8229301,-37.55228448
Lake Wendouree,258898,2015/11/1,Playground - (St Patricks Point) - Wendouree Pde Lake Wendouree,PG-Playground,City of Ballarat,Lake Wendouree Reserve,Central,143.8320572,-37.55567607
Lake Wendouree,220797,2013/6/1,Playground - (Durham Point) - Wendouree Pde Lake Wendouree,PG-Playground,City of Ballarat,Lake Wendouree Reserve,Central,143.8346263,-37.54458055
Lake Wendouree,140142,2012/4/30,Playground - (Fountain Point) - Wendouree Pde Lake Wendouree,PG-Playground,City of Ballarat,Lake Wendouree Reserve,Central,143.84204,-37.55545096
Alfredton,36867,2002/1/1,Playground - Lawrie Linear Reserve,PG-Playground,City of Ballarat,Lawrie Linear Reserve,North,143.8046099,-37.55764436
Delacombe,36874,2007/1/1,Playground - Leawarra Crescent Reserve Delacombe,PG-Playground,City of Ballarat,Leawarra Crescent Reserve,South,143.8230174,-37.58413965
