name,lat,long
Mill park,-37.66667,145.06667
Melbourne Park,-37.82296,144.979401
Black hill,-34.876269,138.731425
Cleland Conservation Park,-34.964381,138.695346
Mount Lofty Botanic gardens,-34.987351,138.711514
Wattle Park,-34.9294,138.67924
Clovelly Park,-34.999739,138.567481
Mitchell Park,-35.00705,138.566107
Bedford Prark,-35.024765,138.571261
Royal Park,-34.871677,138.508038
Mansfield Park,-34.857592,138.551047
Para wirra conservation park,-34.682739,138.832333
Warren park,-34.721408,138.905864
Beckwith park,-34.481188,138.98973
Sandy creek park,-34.611764,138.859756
Mount crawford park,-34.766091,138.810976
Kenneth park,-34.98759,138.776561
Mark oliphant park,-35.034943,138.703907
Scott creek park,-35.085837,138.691599
Onkaparinga river national park,-35.085837,138.691599
Kyeema park,-35.264878,138.679266
Coorong national park,-35.936633,139.504928
Nagarkat park,-35.797279,140.637187
Big desert wilderness park,-35.623326,141.142969
Wyperfeld national park,-35.600997,141.791408
Little desert national park,-36.555499,141.46155
Dergholm state park,-37.274266,141.182779
Lower glenelg national park,-38.027963,141.110129
Cobboboonee national park,-38.095001,141.434489
Budj bim national park,-38.087435,141.893541
Discovery bay coastal park,-38.226735,141.320413
Black range state park ,-37.15965,142.074963
Grampiansnational park,-37.364035,142.298991
Kara kara national park,-36.855879,143.277569
Kooyooro state park,-36.597217,143.710507
Invermay park,-37.531072,143.855741
Enfield state park,-37.764307,143.742947
Otway forest park,-38.4368,143.658916
Great otway national park,-38.5969,143.854082
Brisbane ranges national park,-37.745955,144.272035
Lerderderg state park,-37.547512,144.404526
Macedon regional park,-37.39618,144.624915
Clader park ,-37.677405,144.765448
Woodlands historic park,-37.649956,144.851692
Werribee gorge state park,-37.660775,144.355534
Point cook park,-37.893874,144.79773
Cheltenham park,-37.966172,145.050004
Heatherton park,-37.95636,145.130097
Keeley park,-37.935986,145.124771
Namatjira park,-37.933008,145.110515
Bald hill park,-37.932374,145.104771
Packer park,-37.901072,145.058458
Koornang park,-37.894942,145.054372
Glen huntly park,-37.885823,145.039486
Elsternwick park,-37.889713,144.993659
Caulfielf park,-37.871896,145.029302
Balwyn park,-37.81413,145.078575
Beckett park,-37.810418,145.092369
Greythorn park,-37.797997,145.094212
Macleay park,-37.80054,145.07394
Bulleen park ,-37.774934,145.07407
Banksia park,-37.757056,145.080827
Birrarrung park,-37.75278,145.09702
Westerfolds park,-37.745994,145.128007
Candlebark park,-37.743449,145.140549
Warrandyte state park,-37.735996,145.20555
Currawong bush park,-37.758596,145.185537
Mullum creek linear park,-37.781853,145.195097
Koomba park,-37.852641,145.210476
Bushy park,-37.870869,145.190847
Jells park,-37.900946,145.200817
Colunbia park,-37.915296,145.186214
Bunurong memorial park,-38.06625,145.191685
Robinsons park,-38.173615,145.160347
Baxter park,-38.193753,145.142522
Arthurs seat state park,-38.360597,144.943411
Mornington peninsula national park,-38.360597,144.943411
Warringine park,-38.326487,145.190989
Royal botanic gardens,-38.134921,145.27343
Phillip island nature park,-38.454045,145.292472
French island national park,-38.338261,145.422472
Bunyip state park,-37.975809,145.717905
Yarra ranges national park,-37.609217,145.589513
Avon wilderness park,-37.621183,146.832359
Alpine national park,-37.032587,147.081127
Wabba wilderness park ,-36.35019,147.720941
Snowy river national park,-37.301129,148.48691
Kpsciuszko national park,-36.061069,148.348978
Namadgi national park,-35.626919,148.887667
Brindabella national park,-35.274091,148.80721
Mitchell river national park,-37.649246,147.343828
Coopracambra national park,-37.356394,149.348679
Croajingolong national park,-37.505794,149.887447
Ben boyd national park,-37.183677,149.984902
Kinglake national park,-37.413468,145.202927
Lake eildon national park,-37.310533,145.980025
Cathedral range state park,-37.381283,145.785296
Mount buffalo national park,-36.698584,146.777036
Chiltern-mt pilot national park,-36.255011,146.723884
Woomargama national park,-35.886147,147.478306
Mount lawson state park,-36.053974,147.44532
Burrowa pine mountain national park,-36.093933,147.732571
Mount worth state park,-38.280153,145.988813
Wilson botanic park,-38.025559,145.338319
Princes park,-37.894048,145.025949
Hopetoun gardens,-37.886478,145.010626
Burnley park,-37.825267,145.014547
Fairview park,-37.829746,145.028229
Fritsch holzer park,-37.828907,145.050434
Braeside park,-37.999896,145.128533
Chelsea park,-38.049889,145.12858
Jolong park,-38.042913,145.152598
Mount samaia state park,-36.889721,146.083491
Gippsland lakes coastal park,-38.087224,147.489819
Tara range park,-37.579625,148.244585
South east forest national park,-37.009989,149.491531
Mount imlay national park,-37.162172,149.739106
Mimosa rocks national park,-36.67073,149.935603
Wadbilliga national park,-36.348747,149.622898
Kooraban national park,-36.317001,149.923013
Gulaga national park,-36.314451,150.025604
Deua national park,-35.931751,149.804325
Gourock national park,-35.920631,149.528069
