"Complex_Name","Complex_Type","Facility_Name","Facility_Type","Bookable_Item","Assessment_No","F8","Number","Road_Name","Locality","Post_Code","Contact_Name","Contact_Number","Contact_Email","Home_Clubs","Hours_of_Operation","Description","Amenities","Hire_Agreements","Availability","Facebook_Page","Capacity","LAT","LONG"
"Cape Clear & District Lions Park","Public Open Space","Cape Clear & District Lions Park Playground","Playground","Cape Clear & District Lions Park Playground","91000633","",1461,"Pitfield-Scarsdale Road","Cape Clear",3351,"","","","","","","","","","","",-37.78685,143.613069
"Haddon Lions Park","Public Open Space","Haddon Lions Park Playground","Playground","Haddon Lions Park Playground","66117403","",30,"Racecourse Road","Haddon",3351,"","","","","","","","","","","",-37.58807,143.714742
"Haddon Recreation Reserve","Recreation Reserve","Haddon Recreation Reserve Playground","Playground","Haddon Recreation Reserve Playground","66116405","",396,"Sago Hill Road","Haddon",3351,"","","","","","","","","","","",-37.58812,143.722213
"Ross Creek Recreation Reserve","Recreation Reserve","Ross Creek Recreation Reserve Playground","Playground","Ross Creek Recreation Reserve Playground","41400035","",655,"Sebastopol-Smythesdale Road","Ross Creek",3351,"","","","","","","","","","","",-37.632091,143.758713
"Enfield Harrison Reserve","Recreation Reserve","Enfield Harrison Reserve Playground","Playground","Enfield Harrison Reserve Playground","91000207","",58,"Briardale Avenue","Enfield",3351,"","","","","","","","","","","",-37.724602,143.801014
"Napoleons Recreation Reserve","Recreation Reserve","Napoleons Recreation Reserve Playground","Playground","Napoleons Recreation Reserve Playground","54002342","",0,"Colac-Ballarat Road","Napoleons",3352,"","","","","","","","","","","",-37.680147,143.825216
"Garibaldi Public Hall Reserve","Hall Reserve","Garibaldi Playground","Playground","Garibaldi Playground","54005014","",0,"Hardies Hill Road","Garibaldi",3352,"","","","","","","","","","","",-37.717755,143.880762
"Grenville Recreation Reserve","Recreation Reserve","Grenville Recreation Reserve Playground","Playground","Grenville Recreation Reserve Playground","54005009","",1462,"Buninyong-Mt Mercer Road","Grenville",3351,"","","","","","","","","","","",-37.769056,143.884521
"Smythesdale Gardens Reserve","Public Open Space","Smythesdale Gardens Playground","Playground","Smythesdale Gardens Playground","91000793","",0,"Garden Street","Smythesdale",0,"","","","","","","","","","","",-37.638477,143.68646
"Woady Yaloak Recreation Reserve","Recreation Reserve","Woady Yaloak Recreation Reserve Playground","Playground","Woady Yaloak Recreation Reserve Playground","66300008","",55,"Heales Street","Smythesdale",3351,"","","","","","","","","","","",-37.64181,143.683965
"Scarsdale Community Park Reserve","Public Open Space","Scarsdale Community Park Reserve Playground","Playground","Scarsdale Community Park Reserve Playground","91001756","",0,"Scarsdale-Pitfield Road","Scarsdale",3351,"","","","","","","","","","","",-37.672406,143.655099
"Linton Recreation Reserve","Recreation Reserve","Linton Recreation Reserve Playground","Playground","Linton Recreation Reserve Playground","66379102","",9,"Brooke Street","Linton",3360,"","","","","","","","","","","",-37.68347,143.56812
