(Base) Category,(Delivery Area) Delivery Area,(Round) Round,Name,(Project) Id,(Project) Title,(Project) Description,(Project) Status,(Activity) Activity,(Approved/Not Approved Funding Details) Minister Approved Date,(Demographic Information) Age group,Total Updated Approved Amount,(Location) Electorate,(Location) LGA,(Location) Suburb/City,(State Region) State Region,(Location) SEIFA Ranking,(Location) SEIFA Decile,Longitude,Latitude,(Location) Address Line 1,Delivery Agent Address Postcode,Delivery Agent Mailing Address Postcode
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,The Samford Tennis Club Incorporated,GPPS-GPPS06-2017-0005,The Samford Tennis Club Incorporated,construct two new courts and upgrade lighting to four existing courts to support tennis at Samford Parklands,Active,Tennis,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",PINE RIVERS,MORETON BAY REGIONAL,SAMFORD VALLEY,North Coast,1148,10,152.883896,-27.36098,2124 Mount Samson Road,4520,4520
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mackay Lions Soccer Club Inc,GPPS-GPPS06-2017-0006,Mackay Lions Soccer Club Inc,"construct playing fields, an oval field and a cricket pitch to support mutli-sports at Mackay",Active,"Australian Football,Cricket,Football,Rugby Union",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",MACKAY,MACKAY REGIONAL,ANDERGROVE,Northern,949,3,149.178737,-21.109592,1 Beaconsfield Road East,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Warwick Boxing Club Inc.,GPPS-GPPS06-2017-0011,Warwick Boxing Club Inc.,"extend the existing clubhouse to include a new toilet, shower and storage to support boxing at Warwick.",Completed,"Boxing,Calisthenics,Rugby League",27/09/2017,All age groups and genders (i.e. general community),"$81,681.00 ",SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,WARWICK,South West,809,1,152.027743,-28.210753,33a Albert Street,4370,4370
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Tablelands Outdoor Recreation Association Inc.,GPPS-GPPS06-2017-0019,Tablelands Outdoor Recreation Association Inc,construct trails to support outdoor recreation at Atherton,Active,"Active Recreation,Cycling,Equestrian,Geocaching,Horse Riding - Recreational,Mountain Biking,Riding For Disabled,Running,Walking",27/09/2017,All age groups and genders (i.e. general community),"$82,980.00 ",HILL,TABLELANDS REGIONAL,CARRINGTON,Far North,990,4,145.421676,-17.322798,90 Moomin Road,4883,4883
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Mackay Junior Moto Cross Inc.,GPPS-GPPS06-2017-0026,Mackay Junior Moto Cross Club Inc,construct a multipurpose facility and canteen to support moto cross at Mackay,Active,"Motor Sport,Motorcycling",27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",MACKAY,MACKAY REGIONAL,WEST MACKAY,Northern,1021,6,149.169739,-21.139791,Hume Street,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Innisfail United Football Club Incorporated,GPPS-GPPS06-2017-0028,Innisfail United Football Club Incorporated,upgrade lighting to 200 lux to support football at Innisfail,Active,"Athletics,Football",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$108,513.00 ",HILL,CASSOWARY COAST REGIONAL,MOURILYAN,Far North,867,1,146.040367,-17.585341,Mill Street,4858,4860
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Middlemount Golf & Country Club Inc.,GPPS-GPPS06-2017-0048,Middlemount Golf & Country Club Inc,replace irrigation system to support golf at Middlemount,Active,Golf,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",BURDEKIN,ISAAC REGIONAL,MIDDLEMOUNT,Northern,0,0,148.712637,-22.815271,Centenary Drive North,4746,4746
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Toowoomba Bmx Club Inc.,GPPS-GPPS06-2017-0053,Toowoomba BMX Club Inc,construct a race stewards control center for officials to support BMX Racing in Toowoomba.,Completed,"Active Play,Active Recreation,BMX ,Mountain Biking",27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$22,475.00 ",TOOWOOMBA NORTH,TOOWOOMBA REGIONAL,WILSONTON,South West,808,1,151.928093,-27.548556,328b Bridge Street,4350,4350
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Port Douglas Rugby Club Inc.,GPPS-GPPS06-2017-0055,Port Douglas Rugby Club Inc.,"construct stage two of clubhouse and amenities to support rugby union at Raider Park, Port Douglas",Active,"Cricket,Football,Rugby Union,Touch",27/09/2017,All age groups and genders (i.e. general community),"$132,672.00 ",COOK,DOUGLAS SHIRE,PORT DOUGLAS,Far North,1025,6,145.461731,-16.487337,Wharf Street,4877,4877
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Toowoomba Mountain Bike Club Inc.,GPPS-GPPS06-2017-0070,Toowoomba Mountain Bike Club Inc,extend the green-rated beginner mountain bike trail network to support mountain biking at Jubilee Park,Completed,Mountain Biking,27/09/2017,All age groups and genders (i.e. general community),"$103,340.00 ",TOOWOOMBA NORTH,TOOWOOMBA REGIONAL,MOUNT LOFTY,South West,0,0,151.985252,-27.542594,1c Prince Henry Drive,4350,4350
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Gailes Golf Club Inc.,GPPS-GPPS06-2017-0071,Gailes Golf Club Inc.,upgrade golf course facilities to support golf at Wacol,Active,Golf,27/09/2017,All age groups and genders (i.e. general community),"$87,593.00 ",INALA,BRISBANE CITY,WACOL,South Coast,0,0,152.915855,-27.599984,331 Wilruna Street,4076,4076
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,The Tarragindi Churches' Tigers Sporting Association Incorporated,GPPS-GPPS06-2017-0092,The Tarragindi Churches' Tigers Sporting Association Incorporated,construct a clubhouse to support football at Tarragindi,Active,Football,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",MILLER,BRISBANE CITY,TARRAGINDI,South Coast,1080,8,153.048781,-27.518335,166 Sexton Street,4121,4121
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Peregian Tennis Club Inc.,GPPS-GPPS06-2017-0100,Peregian Tennis Club Incorporated,upgrade lighting and replace fencing to support tennis at Peregian,Completed,Tennis,27/09/2017,"All age groups and genders (i.e. general community) ,Female (55 years or older),Male (55 years or older)","$145,056.00 ",NOOSA,NOOSA SHIRE,PEREGIAN BEACH,North Coast,1027,6,153.094976,-26.479717,11 Rufous Street,4573,4573
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,University Of Queensland Mountain Club Inc.,GPPS-GPPS06-2017-0111,University Of Queensland Mountain Club Inc.,purchase and install a 'Store Safe' small storage building to support rock climbing at Kangaroo Point,Completed,Rock Climbing,27/09/2017,"Female (18 - 24 years),Female (25 - 54 years),Male (18 - 24 years),Male (25 - 54 years)","$11,058.00 ",SOUTH BRISBANE,BRISBANE CITY,KANGAROO POINT,South Coast,902,2,153.034326,-27.477752,75 River Terrace,4067,4067
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,The Redcliffe Leagues Hockey Club Inc.,GPPS-GPPS06-2017-0115,The Redcliffe Leagues Hockey Club,replace an existing synthetic turf pitch to support hockey at Redcliffe,Completed,"Futsal,Hockey",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",REDCLIFFE,MORETON BAY REGIONAL,REDCLIFFE,North Coast,0,0,153.108603,-27.227043,1-25 Portwood Street,4020,4021
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Bethania Rams Football Club Incorporated,GPPS-GPPS06-2017-0116,Bethania Rams Football Club,"replace sports field lighting with LED, include four 20 metre poles and lighting fittings to 150 lux to support football at Bethania",Active,Football,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",WATERFORD,LOGAN CITY,BETHANIA,South Coast,1072,8,153.146154,-27.680626,117 - 135 Federation Drive,4205,4133
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Tugun Bowls & Community Club Inc.,GPPS-GPPS06-2017-0129,Tugun Bowls & Community Club Inc.,upgrade and install lighting to three greens and install solar panels to support lawn bowls at Tugun,Completed,Bowls - Lawn,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",CURRUMBIN,GOLD COAST CITY,TUGUN,South Coast,980,4,153.493984,-28.146826,10 Station Street,4224,4224
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Cities Rugby League Football Club Inc.,GPPS-GPPS06-2017-0144,Cities Rugby League Football Club Inc,construct a new oval to support rugby league at Roma,Completed,"Rodeo,Rugby League,Rugby Union",27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$130,400.00 ",WARREGO,MARANOA REGIONAL,ROMA,South West,1052,7,148.809179,-26.573999,Creek Street,4455,4455
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Tableland Competition Car Club Inc,GPPS-GPPS06-2017-0148,Tableland Competition Car Club Inc.,construct a safety catch fence to support motor sport at Kalunga,Active,"Motor Sport,Motorcycling",27/09/2017,All age groups and genders (i.e. general community),"$46,906.00 ",HILL,TABLELANDS REGIONAL,KALUNGA,Far North,907,2,145.396176,-17.428427,905 Longlands Gap Herberton Road,4887,4887
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Goondiwindi Rugby League Football Club Inc,GPPS-GPPS06-2017-0152,Goondiwindi Rugby League Football Club Inc,"upgrading of  lighting to 200 lux to support rugby league, touch, cricket and football and construction of a storage shed  at Goondiwindi.",Completed,"Cricket,Football,Rugby League,Touch",27/09/2017,All age groups and genders (i.e. general community),"$149,855.00 ",SOUTHERN DOWNS,GOONDIWINDI REGIONAL,GOONDIWINDI,South West,1050,7,150.320701,-28.55216,2-4 Andersen Street,4390,4390
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Townsville Gun Club Inc.,GPPS-GPPS06-2017-0155,Townsville Gun Club Inc.,"construct a new trench layout and a trench outlay and upgrade an existing trench layout and an existing trench outlay to support clay target shooting at Alligator Creek, Townsville",Active,Shooting - Clay Target,27/09/2017,All age groups and genders (i.e. general community),"$150,000.00 ",BURDEKIN,TOWNSVILLE CITY,ALLIGATOR CREEK,Northern,1087,9,146.988926,-19.403828,35919 Bruce Highway,4816,4814
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Southside Aquatics Inc.,GPPS-GPPS06-2017-0168,Southside Aquatics Inc.,construct and install a permanent shade structure and upgrade pool deck surface to support swimming at Rochedale,Active,Swimming,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Male (0 - 17 years),Male (18 - 24 years)","$113,920.00 ",MANSFIELD,BRISBANE CITY,ROCHEDALE,South Coast,1017,5,153.122866,-27.584498,745 Rochedale Road,4123,4156
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Cedar Grove And District Riding Club Inc.,GPPS-GPPS06-2017-0170,Cedar Grove And District Riding Club Inc.,upgrade the sand dressage arena and construct a 26m x 66m dressage arena roof,Active,Equestrian,27/09/2017,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$150,000.00 ",SCENIC RIM,LOGAN CITY,CEDAR GROVE,South Coast,1064,8,152.977936,-27.865239,30-88 Irwin Road,4285,4280
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 6,Slacks Creek Soccer Club Incorporated,GPPS-GPPS06-2017-0174,Slacks Creek Soccer Club Incorporated,re-establish two existing sports fields and construct one new sports field and install irrigation to support football at Daisy Hill,Active,Football,27/09/2017,"Female (0 - 17 years),Female (18 - 24 years),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years)","$150,000.00 ",SPRINGWOOD,LOGAN CITY,DAISY HILL,South Coast,1070,8,153.158614,-27.642907,3 Rose Street,4127,4127
