(Base) Category,(Delivery Area) Delivery Area,(Round) Round,Name,(Project) Id,(Project) Title,(Project) Description,(Project) Status,(Activity) Activity,(Approved/Not Approved Funding Details) Minister Approved Date,(Demographic Information) Target Group,(Demographic Information) Age group,Total Updated Approved Amount,(Location) Electorate,(Location) LGA,(Location) Suburb/City,(State Region) State Region,(Location) SEIFA Ranking,(Location) SEIFA Decile,Longitude,Latitude,(Location) Address Line 1,Delivery Agent Address Postcode,Delivery Agent Mailing Address Postcode
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Ormeau Pimpama Tennis Club Inc,GPPS-GPPS07-2018-0006,Ormeau Pimpama Tennis Club Inc,upgrade existing outdoor courts to support tennis at Pimpama,Active,Tennis,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$114,468.00 ",COOMERA,GOLD COAST CITY,PIMPAMA,South Coast,1053,7,153.275547,-27.801222,4a Lumeah Avenue,4209,4208
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Mackay Cricket Association Inc.,GPPS-GPPS07-2018-0008,Mackay Cricket Association Inc.,upgrade and replace practice cricket wickets and nets to support cricket at Mackay,Active,Cricket,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",MACKAY,MACKAY REGIONAL,SOUTH MACKAY,Northern,959,3,149.186291,-21.159354,89 Juliet Street,4740,4740
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Western Districts Netball Association Incorporated,GPPS-GPPS07-2018-0012,Western Districts Netball Association Incorporated,"upgrade existing lighting and install new lighting to support netball at Faulkner Park, Graceville",Active,Netball,12/12/2018,No specific target group,"Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older)","$150,000.00 ",MILLER,BRISBANE CITY,GRACEVILLE,South Coast,1108,10,152.981607,-27.516951,22a Waratah Avenue,4075,4075
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Hinchinbrook Shire Council,GPPS-GPPS07-2018-0015,Hinchinbrook Shire Council,install new lighting to support horse sports at Ingham,Active,Equestrian,12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$106,211.00 ",HINCHINBROOK,HINCHINBROOK SHIRE,INGHAM,Northern,890,2,146.1596,-18.657971,Cooper Street,4850,4850
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,North Queensland International Motor Raceway Association Incorporated,GPPS-GPPS07-2018-0016,North Queensland International Motor Raceway Association Incorporated,replace safety fencing to support motor racing at Cairns,Active,"Motor Sport,Motorcycling",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$150,000.00 ",MULGRAVE,CAIRNS REGIONAL,EDMONTON,Far North,925,2,145.766091,-17.001883,1308 Fisherman Road,4869,4870
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Samford Riding For The Disabled Inc.,GPPS-GPPS07-2018-0017,Samford Riding For The Disabled Inc.,upgrade existing arena to support riding for the disabled at Samford,Active,Equestrian,12/12/2018,People with a Disability,All age groups and genders (i.e. general community),"$51,981.00 ",PINE RIVERS,MORETON BAY REGIONAL,HIGHVALE,North Coast,1130,10,152.820717,-27.369765,40 Showgrounds Drive,4520,4053
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Tewantin - Noosa Cricket Club Incorporated,GPPS-GPPS07-2018-0025,Tewantin - Noosa Cricket Club Incorporated,install three new practice nets and lighting to support cricket at Tewantin,Active,Cricket,12/12/2018,No specific target group,All age groups and genders (i.e. general community),$0.00 ,NOOSA,NOOSA SHIRE,TEWANTIN,North Coast,978,4,153.029371,-26.389555,Corner Of Goodwin And Poinciana Avenue,4565,4565
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Arundel Park Riding For Disabled Inc.,GPPS-GPPS07-2018-0026,Arundel Park Riding For Disabled Inc.,replace existing stables to support horse sports at Arundel,Active,"Active Recreation,Carriage Driving,Equestrian,Horse Riding - Recreational,Riding For Disabled",12/12/2018,People with a Disability,All age groups and genders (i.e. general community),"$135,888.00 ",BROADWATER,GOLD COAST CITY,COOMBABAH,South Coast,,,153.367589,-27.914163,387 Brisbane Road,4216,4212
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Newport Cruising Yacht Club Inc.,GPPS-GPPS07-2018-0031,Newport Cruising Yacht Club Inc.,construct a new clubhouse to support yachting at Kippa-Ring,Active,"Active Recreation,Sailing,Yachting",12/12/2018,No specific target group,All age groups and genders (i.e. general community),"$127,691.00 ",REDCLIFFE,MORETON BAY REGIONAL,KIPPA-RING,North Coast,,,153.092062,-27.21792,164 Klingner Road,4020,4020
Capital Funding,Get Playing Places and Spaces,Get Playing Places and Spaces Round 7,Balonne Shire Council,GPPS-GPPS07-2018-0032,Balonne Shire Council,"supply and install a new playground and fitness equipment to support active recreation at Rowden Park, St George",Active,"Active Play,Active Recreation",12/12/2018,No specific target group,"All age groups and genders (i.e. general community) ,Female (0 - 17 years),Female (18 - 24 years),Female (25 - 54 years),Female (55 years or older),Male (0 - 17 years),Male (18 - 24 years),Male (25 - 54 years),Male (55 years or older)","$147,061.00 ",WARREGO,BALONNE SHIRE,ST GEORGE,South West,913,2,148.576643,-28.038084,Barlee Street,4487,4487
