assetid,name,strno,street,suburb,classif,park_id,lat,lon
PL1,Acheron Reserve Playground,9-11,Acheron Street,Doncaster,Small Playground,FLPK2,-37.79041961400,145.11452704000
PL2,Aintree Reserve Playground,4-6,Aintree Avenue,Donvale,Small Playground,FLPK3,-37.78773805800,145.16861468300
PL3,Allara Reserve Playground,6,Allara Court,Donvale,Small Playground,FLPK9,-37.77510940000,145.18072418500
PL5,Anthony Reserve Playground,2-20,Anthony Avenue,Doncaster,Small Playground,FLPK348,-37.77578461100,145.10922800400
PL6,Apple Blossom Reserve Playground,13,Apple Blossom Court,Templestowe,Small Playground,FLPK14,-37.77234313200,145.16134148400
PL7,Aranga Reserve Playground,,Eastway Avenue,Donvale,Small Playground,FLPK16,-37.80216418200,145.17673409200
PL8,Argyle Reserve Playground,18,Argyle Street,Donvale,Small Playground,FLPK17,-37.79890167700,145.17119547300
PL9,Dryden Reserve Playground,31,Ascot Street,Doncaster East,Small Playground,FLPK22,-37.78499122300,145.15903831900
PL10,Astelot Reserve Playground,22A,The Glen,Donvale,Small Playground,FLPK23,-37.80096433900,145.18037997900
PL11,Balmoral Reserve Playground,59-61,Macedon Road,Templestowe Lower,Small Playground,FLPK33,-37.77024169400,145.11258543500
PL12,Thea Reserve Playground,12,Baratta Street,Doncaster East,Large Playground,FLPK284,-37.79743339700,145.15294240000
PL13,Bebs Reserve Playground,4,Bebs Court,Templestowe,Small Playground,FLPK31,-37.75902973300,145.15470990700
PL15,Beverley Reserve Playground,115,Beverley Street,Doncaster East,Small Playground,FLPK36,-37.79144401900,145.16635006800
PL16,Bimbadeen Reserve Playground,250,Templestowe Road,Templestowe Lower,Large Playground,FLPK38,-37.75748066000,145.10920780200
PL18,Brendan Reserve Playground,23,Brendan Avenue,Doncaster,Small Playground,FLPK45,-37.78076346200,145.12145650100
PL19,Bulleen Park Playground,175,Bulleen Road,Bulleen,Large Playground,FLPK51,-37.77251307000,145.07193287600
PL20,Bullen Reserve Playground,2,Lawrence Street,Doncaster East,Small Playground,FLPK50,-37.79288019600,145.14751555300
PL21,Burgundy Reserve Playground,4A,Burgundy Drive,Doncaster,Small Playground,FLPK53,-37.77943408900,145.11953077700
PL22,Cameron Reserve Playground,16,Cameron Close,Donvale,Small Playground,FLPK55,-37.78024546100,145.17984887700
PL23,Carawatha Reserve Playground,7,Koolkuna Avenue,Doncaster,Large Playground,FLPK57,-37.78946313800,145.11838176100
PL24,Cat Jump Park Playground,103-107,Bellevue Avenue,Doncaster East,District Playground,FLPK60,-37.78069030600,145.17426760100
PL25,Celeste Reserve East Playground,48,Celeste Street,Doncaster East,Small Playground,FLPK63,-37.78678041700,145.15465830900
PL26,Celeste Reserve West Playground,12,Celeste Street,Doncaster East,Small Playground,FLPK62,-37.78625493200,145.15017739400
PL27,Carisbrook Reserve Playground,10,Carrisbrook Court,Doncaster East,Small Playground,FLPK70,-37.78682814700,145.16560738700
PL28,Colman Park Playground,64-76,Croydon Road,Warrandyte South,Small Playground,FLPK71,-37.76675772800,145.23826209300
PL29,Coolabah Reserve Playground,35-37,Coolabah Street,Doncaster,Small Playground,FLPK74,-37.79120551900,145.13932613300
PL30,Corroboree Reserve Playground,92,Hodgson Street,Templestowe Lower,Small Playground,FLPK75,-37.75954842600,145.10501196400
PL31,Crawford Reserve Playground,37,Ironbark Drive,Templestowe Lower,Small Playground,FLPK77,-37.77426557900,145.12157727400
PL32,Daniel Reserve Playground,15-17,Daniel Court,Donvale,Small Playground,FLPK78,-37.78485826100,145.17649734900
PL34,Davis Reserve Playground,12,Davis Street,Doncaster,Small Playground,FLPK160,-37.79389942200,145.11903707300
PL35,Jocelyn Reserve Playground,24,Dehnert Street,Doncaster East,Large Playground,FLPK89,-37.78511668400,145.14922151900
PL36,Dellfield Reserve Playground,54-58,Dellfield Drive,Templestowe Lower,Small Playground,FLPK86,-37.76452100400,145.12505961800
PL37,Domeney Reserve Playground,24-52,Knees Road,Park Orchards,Large Playground,FLPK91,-37.77384929900,145.21762268000
PL38,Doncaster Reserve Playground,918,Doncaster Road,Doncaster East,District Playground,FLPK92,-37.78821846800,145.15205289300
PL40,Donvale Reserve Playground,36-82,Mitcham Road,Donvale,Large Playground,FLPK94,-37.79613024700,145.17640408400
PL41,Dudley Reserve Playground,37,Dudley Road,Wonga Park,Small Playground,FLPK96,-37.73121065300,145.27286425100
PL42,Dumossa Reserve Playground,31,Dumossa Avenue,Bulleen,Small Playground,FLPK324,-37.76239841500,145.08753863200
PL43,Eildon Reserve Playground,11,Eildon Street,Doncaster,Small Playground,FLPK352,-37.79449498000,145.12422181900
PL44,Fahey Park Playground,33,Melissa Street,Donvale,Small Playground,FLPK101,-37.78312175000,145.17794574600
PL45,Fernlea Reserve Playground,20,Fernlea Crescent,Doncaster East,Small Playground,FLPK104,-37.75337144400,145.17020639900
PL46,Fielding Reserve Playground,3-5,Fielding Way,Templestowe,Large Playground,FLPK105,-37.76076307000,145.15750568000
PL47,Finns Reserve Playground,4,Duncan Street,Templestowe Lower,Regional Playground,FLPK106,-37.75384839900,145.11577226600
PL50,Dehnert Reserve Playground,64-66,Denhert Street,Doncaster East,Small Playground,FLPK116,-37.78123201000,145.14991916200
PL51,Gertrude Reserve Playground,2-4,Gertrude Street,Templestowe Lower,Small Playground,FLPK117,-37.76497700600,145.10114306900
PL52,Paterson Reserve Playground,86A,Glenair Court,Templestowe Lower,Small Playground,FLPK120,-37.75857826300,145.11648253600
PL53,Glenda Reserve Playground,36,Glenda Street,Doncaster,Large Playground,FLPK121,-37.78337109900,145.10697362700
PL54,Grant Olson Reserve Playground,32-34,Bourke Street,Bulleen,Large Playground,FLPK123,-37.76540286800,145.09333287000
PL56,Bronte Playspace,289,Serpells Road,Templestowe,Large Playground,FLPK401,-37.76693816800,145.16246301300
PL57,Grover Reserve Playground,5-15,Grover Road,Doncaster,Small Playground,FLPK128,-37.78082713900,145.14069865400
PL58,Hampshire Reserve Playground,22-26,Hampshire Road,Doncaster,Small Playground,FLPK129,-37.79475438600,145.13868513700
PL59,Hanke Reserve Playground,15,Hanke Road,Doncaster,Small Playground,FLPK130,-37.79104364700,145.12432455100
PL60,Happy Valley Reserve Playground,3,Whickson Court,Doncaster East,Small Playground,FLPK131,-37.76673471000,145.17478754000
PL61,Harold Reserve Playground,29A,Harold Street,Bulleen,Small Playground,FLPK132,-37.77509025400,145.09858440900
PL62,Heath Reserve Playground,16,Heath Street,Templestowe Lower,Large Playground,FLPK135,-37.75933818700,145.11354314500
