PR_NO,PARK_NAME,NODE_ID,NODE_USE,NODES_NAME,ITEM_ID,ITEM_TYPE,ITEMS_NAME,DESCRIPTION,EASTING,NORTHING,LONGITUDE,LATITUDE
D0001,QUANDONG PARK,"32,423",RECREATION ACCESS,QUANDONG PK SHARED PATHWAY,"11,882",ADVISORY SIGN,,Shared pathway sign,"500,106.05","6,965,225.40",153.0010731,-27.43642293
D0001,QUANDONG PARK,"19,635",BALANCE OF PARK,BALANCE OF PARK,"95,530",ADVISORY SIGN,,bikeway map,"500,097.27","6,965,231.50",153.0009842,-27.43636786
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,142",CAR PARK,,visitors,"496,803.33","6,944,756.86",152.9676005,-27.62120735
D1279,THE LAKE PARKLANDS,"18,426",PICNIC NODE,ALEXANDRINA CCT PICNIC AREA,"75,674",CLIMBING FRAME,,Table only around tree no seats,"496,343.00","6,944,376.00",152.9629337,-27.62464451
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,402",COMMUNICATION INFRASTRUCTURE,,telstra maintenance hole,"496,272.99","6,944,775.80",152.9622254,-27.62103501
D1279,THE LAKE PARKLANDS,"18,427",RECREATION NODE,FOREST LAKE PRECINCT,"60,367",COMMUNITY/PUBLIC ART,,Sculpture,"496,556.00","6,944,345.00",152.9650925,-27.62492493
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,606",COMMUNITY/PUBLIC ART,,statue,"496,418.44","6,944,338.02",152.9636982,-27.62498759
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,593",COMMUNITY/PUBLIC ART,,Snake,"496,508.04","6,944,233.96",152.9646061,-27.62592725
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"120,607",COMMUNITY/PUBLIC ART,,statue,"496,398.32","6,944,321.91",152.9634943,-27.62513297
D1279,THE LAKE PARKLANDS,"24,764",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE AMPHITHEATRE,"125,038",DECK,,"with railings formed table barrier, 10 in deck up-light","496,446.59","6,944,344.69",152.9639836,-27.62492745
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,399",DECK,,,"496,459.68","6,944,821.30",152.9641177,-27.62062475
D1279,THE LAKE PARKLANDS,"18,427",RECREATION NODE,FOREST LAKE PRECINCT,"117,054",DECK,,,"496,654.81","6,944,664.92",152.9660949,-27.62203701
D1279,THE LAKE PARKLANDS,"18,423",PARK BOOKING & EVENT SPACE,FOREST LAKE BOOKING SITE 3 (STAGE),"125,527",DECK,,on the wetland,"496,680.73","6,944,855.07",152.9663582,-27.62032044
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,023",DECK,,"built on lake , with stairs and railing (move to node 18427)","496,498.22","6,944,639.13",152.9645078,-27.62226944
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,004",DECK,,"over looking lake, with timber/ stainless steel railing","496,560.30","6,944,259.98",152.9651359,-27.62569248
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"125,021",DECK,,overlooking lake with 4 bollards,"496,418.62","6,944,418.96",152.9637003,-27.62425688
D1279,THE LAKE PARKLANDS,"33,804",SERVICE NODE,BLUE LAKE COURT SQID,"117,587",DRAINAGE INFRASTRUCTURE,,Rock spillway,"506,356.50","6,981,866.55",153.0642312,-27.28616972
D1279,THE LAKE PARKLANDS,"18,427",RECREATION NODE,FOREST LAKE PRECINCT,"24,639",DRAINAGE INFRASTRUCTURE,,Lake outlets,"496,752.00","6,944,793.00",152.9670804,-27.62088097
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,418",DRAINAGE INFRASTRUCTURE,,stormwater outlet,"496,324.84","6,944,873.01",152.9627512,-27.62015756
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"121,291",DRAINAGE INFRASTRUCTURE,,stormwater manhole,"496,044.20","6,944,645.49",152.9599061,-27.62221077
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"44,310",DRAINAGE INFRASTRUCTURE,,SQID wall and trash fence,"496,222.00","6,944,300.00",152.9617071,-27.62533029
D1279,THE LAKE PARKLANDS,"18,422",BALANCE OF PARK,BALANCE OF PARK,"31,397",DRAINAGE INFRASTRUCTURE,,SQID wall and trash fence,"496,352.00","6,944,884.00",152.9630265,-27.62005842
