ref,name,location,type,maint_zone,long,lat
PGWF009,Arthur Dickmann Childrens Centre,Arthur Dickmann Childrens Centre 104-106 Maude Street Shepparton 3630,Child Care,Zone1,145.4010869,-36.37634498
PGWF034,Frank R Puller Childrens Centre,Frank R Puller Childrens Centre 168 Echuca Road Mooroopna 3629,Child Care,Zone3,145.3518372,-36.37956966
PGWF068,Alexandra Street Kindergarten,Alexandra Street Kindergarten Cnr Alexandra & Morrell  Mooroopna 3629,Child Care,Zone3,145.3587401,-36.39324019
PGWF024,Dookie Childrens Centre,Dookie Childrens Centre Mary Street Dookie 3646,Child Care,Zone1,145.6872552,-36.32719629
PGWF050,Katandra West Early Childhood Centre,Katandra West Early Childhood Centre Bankin Street Street Katandra West 3634,Child Care,Zone1,145.5626945,-36.22565519
PGWF087,Rodney Neighbourhood Kindergarten,Rodney Neighbourhood Kindergarten Cnr Midland Highway & Echuca Roads Mooroopna  Cnr Midland Highway & Echuca Roads Mooroopna  Mooroopna 3629,Child Care,Zone3,145.355407,-36.39426703
PGWF028,Echuca Road Kindergarten,Echuca Road Kindergarten 160 Echuca Road Mooroopna 3629,Child Care,Zone3,145.3523076,-36.38052264
PGWF045,Isabel Pearce Kindergarten,Isabel Pearce Kindergarten Central Avenue Shepparton East 3631,Child Care,Zone2,145.4616094,-36.41010547
PGWF018,Colliver Road Kindergarten,"Colliver Road Kindergarten, Shepparton ",Child Care,Zone2,145.4013179,-36.39936161
PGWF023,Dolena Young Pre School,Dolena Young Pre School 135 Balaclava Road Shepparton 3630,Child Care,Zone1,145.4058753,-36.36675463
PGWF060,Leslie Gribble Childrens Centre,Leslie Gribble Childrens Centre 9-11 Westmoreland Crescent Shepparton 3630,Child Care,Zone2,145.4103101,-36.40186144
PGWF092,Tallygaroopna Childrens Centre,Tallygaroopna Childrens Centre Victoria Street Tallygaroopna 3634,Child Care,Zone1,145.4364476,-36.23907207
PGWF039,Gowrie Park Kindergarten,Gowrie Park Kindergarten 35 Hughes Street Tatura 3616,Child Care,Zone4,145.2359637,-36.43849777
PGWF071,Nancy Vibert Occasional Care Centre,Nancy Vibert Occasional Care Centre 18 Edward Street Shepparton 3630,Child Care,Zone1,145.4032346,-36.37870843
PGWF078,Patricia Smith Childrens Centre,Patricia Smith Childrens Centre 38 Packham Street Shepparton 3630,Child Care,Zone1,145.3938443,-36.36155445
PGWF019,Congupna Recreation Reserve,Congupna Recreation Reserve Katamatite-Shepparton Road Congupna 3633,Recreation Reserve,Zone1,145.4351611,-36.29854207
PGWF025,Dookie Recreation Reserve,Dookie Recreation Reserve and Community Centre Baldock Street Dookie 3646,Recreation Reserve,Zone1,145.6832224,-36.33314672
PGWF049,Karramomus Memorial Hall,Karramomus Memorial Hall Karramomus Road Karramomus North 3631,Recreation Reserve,Zone2,145.4778338,-36.52664289
PGWF051,Katandra West Recreation Reserve,Katandra West Recreation Reserve Sidebottom Road Katandra West 3634,Recreation Reserve,Zone1,145.5599478,-36.22800205
PGWF053,Kialla West Reserve,Kialla West Reserve,Recreation Reserve,Zone2,145.3856126,-36.46838857
PGWF052,Kialla Park Reserve,Kialla Park Reserve Kialla Western end of tennis courts,Recreation Reserve,Zone2,145.3881824,-36.41934091
PGWF096,V E Vibert Reserve,"V E Vibert Reserve, Archer Street Shepparton",Recreation Reserve,Zone2,145.408135,-36.40112899
PGWF067,Merrigum Lions Park,Merrigum Lions Park Morrissey Street Merrigum 3618,Recreation Reserve,Zone4,145.12748,-36.37211907
PGWF080,Pine Lodge Recreation Reserve,Pine Lodge Recreation Reserve Dookie-Shepparton Road Pine Lodge 3631,Recreation Reserve,Zone1,145.5410698,-36.36354245
PGWF108,Sports City Netball Playground,Sports City Netball Playground,Recreation Reserve,Zone1,145.3992273,-36.35634286
PGWF109,Sports City Soccer Playground,Sports City - Soccer Playground,Recreation Reserve,Zone1,145.3944474,-36.35287579
PGWF015,WG Parker-Central Park,WG Parker-Central Park Central Avenue Shepparton East 3631,Recreation Reserve,Zone2,145.4622898,-36.40896941
PGWF016,Central Park Tennis Courts,Central Park Tennis Courts Central Avenue Shepparton East 3631,Recreation Reserve,Zone2,145.4627038,-36.40833472
PGWF072,North Shepparton Recreation Reserve,North Shepparton Recreation Reserve Shepparton-Zeerust Road Shepparton North 3631,Recreation Reserve,Zone1,145.396869,-36.32424207
PGWF006,Arcadia Recreation Reserve,Arcadia Recreation Reserve Arcadia Road Arcadia 3631,Recreation Reserve,Zone2,145.3333981,-36.56344495
PGWF059,Lemnos Recreation Reserve,Lemnos Recreation Reserve Lemnos North Road Lemnos 3631,Recreation Reserve,Zone1,145.4626156,-36.35675321
PGWF012,Bunbartha Recreation Reserve,Bunbartha Recreation Reserve Loch West Road Bunbartha 3634,Recreation Reserve,Zone1,145.3433929,-36.21964498
PGWF093,Tallygaroopna Recreation Reserve,Tallygaroopna Recreation Reserve Smith Street Tallygaroopna 3634,Recreation Reserve,Zone1,145.436833,-36.24142603
PGWF123,Katandra Rec Res Youth Spot,Katandra Rec Res Youth Spot,Neighbourhood,Zone4,145.559132,-36.22752004
PGWF118,Toolamba Recreation Reserve.Exercise Equipement,Toolamba Recreation Reserve. All Exercise Equipement in Reserve.,Neighbourhood,Zone3,145.3440352,-36.49185037
PGWF124,Toolamba Rec Res Youth Spot,Toolamba Rec Res Youth Spot,Neighbourhood,Zone3,145.343429,-36.491143
PGWF008,Arrowsmith Crescent Reserve,Arrowsmith Crescent Reserve 1 16 Arrowsmith Crescent Mooroopna,Neighbourhood,Zone3,145.338418,-36.37516604
PGWF104,Northlinks Estate Playground 2,Northlinks estate Playground 2 - 62 Sunningdale Boulevard,Neighbourhood,Not Applicable,145.23927,-36.4264678
PGWF119,,Northlinks Reserve Tatura. 62 Sunningdale Bvd. RESERVE 5 - PS713695.,Neighbourhood,Zone4,145.2392479,-36.42645846
PGWF111,Sanctuary Park Estate Playground,Sanctuary Park Estate Playground. 29 Sanctuary Drive,Neighbourhood,Zone2,145.4034367,-36.43340351
PGWF120,Murchison Youth Spot,Murchison Youth Spot,Neighbourhood,Zone4,145.216231,-36.61581192
PGWF063,Lowanna Waters,Lake Amaroo Waranga Drive Shepparton 3631,Neighbourhood,Zone2,145.4009026,-36.42017002
PGWF090,Smyth Reserve,Smyth Reserve Hall Street Mooroopna 3629,Neighbourhood,Zone3,145.3512259,-36.39795929
PGWF115,Sevens Park Playground,39 Cormorant Boulevard Kialla. Sevens Creek Estate. Cormorant Bvd Playground.,Neighbourhood,Zone2,145.3880671,-36.42977298
PGWF029,Farrell Park,Wallace Street Reserve Wallace Street Congupna 3633,Neighbourhood,Zone1,145.4349788,-36.30097359
PGWF122,Farrell park Youth Spot,Farrell park Youth Spot,Neighbourhood,Zone4,145.4345281,-36.30062496
PGWF103,Riverwood Reserve Playground,Riverwood Reserve Playground 52 Settlers Drive Kialla,Neighbourhood,Zone2,145.3847541,-36.41469731
PGWF110,Northside Estate Playground,Northside Estate Playground,Neighbourhood,Zone1,145.4057701,-36.34476008
PGWF116,Trinity Drive Park,60 Trinity Drive Park,Neighbourhood,Zone1,145.4063462,-36.33442367
